,Unnamed: 0.1,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
947,3139,GPU,12.0,80.0,545.0,13600.0,735,NVIDIA,11980.0,5990.0,187.2
948,3140,GPU,14.0,185.0,232.0,5700.0,1257,AMD,6129.0,6129.0,383.0
964,3156,GPU,7.0,400.0,826.0,54200.0,900,NVIDIA,55570.0,13890.0,6947.0
969,3161,GPU,12.0,250.0,815.0,21100.0,1230,NVIDIA,28260.0,14130.0,7066.0
986,3178,GPU,7.0,180.0,335.0,17200.0,1489,AMD,20740.0,10370.0,648.0
989,3181,GPU,12.0,60.0,200.0,4700.0,1575,NVIDIA,7311.0,3656.0,114.2
993,3185,GPU,14.0,150.0,232.0,5700.0,1168,AMD,5095.0,5095.0,318.5
1006,3198,GPU,14.0,150.0,232.0,5700.0,1120,AMD,5682.0,5682.0,355.1
1014,3206,GPU,12.0,250.0,815.0,21100.0,1327,NVIDIA,31330.0,15670.0,7834.0
1018,3210,GPU,14.0,40.0,132.0,3300.0,1329,NVIDIA,18.68,1196.0,37.37
1023,3215,GPU,7.0,200.0,360.0,15300.0,1825,AMD,24290.0,12150.0,759.2
1029,3221,GPU,12.0,250.0,754.0,18600.0,1350,NVIDIA,26900.0,13450.0,420.2
1042,3234,GPU,16.0,75.0,200.0,4400.0,1000,NVIDIA,59.72,3822.0,119.4
1046,3238,GPU,7.0,150.0,251.0,10300.0,1130,AMD,14380.0,7188.0,449.3
1061,3253,GPU,12.0,250.0,815.0,21100.0,1312,NVIDIA,31330.0,15670.0,7834.0
1068,3260,GPU,12.0,50.0,200.0,4700.0,1395,NVIDIA,5914.0,2957.0,92.4
1069,3261,GPU,16.0,250.0,471.0,11800.0,1506,NVIDIA,197.4,12630.0,394.8
1074,3266,GPU,12.0,15.0,350.0,9000.0,854,NVIDIA,2115.0,1058.0,528.8
1082,3274,GPU,16.0,100.0,314.0,7200.0,1114,NVIDIA,68.77,4401.0,137.5
1090,3282,GPU,14.0,15.0,210.0,4940.0,300,AMD,921.6,460.8,28.8
1118,3310,GPU,7.0,130.0,158.0,6400.0,1607,AMD,10390.0,5196.0,324.7
1127,3319,GPU,14.0,35.0,103.0,2200.0,925,AMD,1248.0,1248.0,78.02
1132,3324,GPU,16.0,75.0,314.0,7200.0,886,NVIDIA,89.12,5704.0,178.2
1137,3329,GPU,14.0,345.0,495.0,12500.0,1406,AMD,27480.0,13740.0,858.6
1145,3337,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
1153,3345,GPU,14.0,230.0,495.0,12500.0,852,AMD,21500.0,10750.0,672.0
1161,3353,GPU,8.0,60.0,276.0,13250.0,817,NVIDIA,9846.0,9846.0,153.8
1163,3355,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.0,384.0,24.0
1167,3359,GPU,12.0,250.0,815.0,21100.0,1200,NVIDIA,29800.0,14900.0,7450.0
1171,3363,GPU,14.0,15.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
1172,3364,GPU,7.0,45.0,156.0,9800.0,300,AMD,3686.0,1843.0,115.2
1175,3367,GPU,12.0,31.0,200.0,4700.0,1035,NVIDIA,4570.0,2285.0,71.4
1178,3370,GPU,7.0,100.0,158.0,6400.0,1670,AMD,10390.0,5196.0,324.7
1179,3371,GPU,16.0,100.0,314.0,7200.0,1227,NVIDIA,68.71,4398.0,137.4
1180,3372,GPU,14.0,120.0,495.0,12500.0,1138,AMD,18650.0,9326.0,582.8
1187,3379,GPU,16.0,120.0,314.0,7200.0,1506,NVIDIA,61.49,3935.0,123.0
1192,3384,GPU,28.0,190.0,366.0,5000.0,970,AMD,3476.0,3476.0,217.3
1198,3390,GPU,14.0,100.0,208.0,5000.0,1063,AMD,3656.0,3656.0,228.5
1200,3392,GPU,14.0,75.0,232.0,5700.0,713,AMD,3892.0,3892.0,243.3
1204,3396,GPU,16.0,80.0,200.0,4400.0,1404,NVIDIA,66.8,4275.0,133.6
1213,3405,GPU,14.0,300.0,495.0,12500.0,1382,AMD,26210.0,13110.0,819.2
1221,3413,GPU,12.0,250.0,815.0,21100.0,1132,NVIDIA,33320.0,16660.0,8330.0
1224,3416,GPU,16.0,120.0,200.0,4400.0,1506,NVIDIA,68.36,4375.0,136.7
1232,3424,GPU,12.0,250.0,815.0,21100.0,937,NVIDIA,26420.0,13210.0,6605.0
1244,3436,GPU,7.0,15.0,156.0,9800.0,400,AMD,3686.0,1843.0,115.2
1269,3461,GPU,14.0,375.0,495.0,12500.0,1382,AMD,26210.0,13110.0,819.2
1275,3467,GPU,16.0,250.0,471.0,11800.0,1025,NVIDIA,179.2,11470.0,358.3
1276,3468,GPU,14.0,50.0,103.0,2200.0,980,AMD,1121.0,1121.0,70.08
1277,3469,GPU,28.0,15.0,125.0,1200.0,200,AMD,691.2,691.2,345.6
1282,3474,GPU,14.0,185.0,232.0,5700.0,1257,AMD,6175.0,6175.0,385.9
1284,3476,GPU,12.0,90.0,445.0,10800.0,1410,NVIDIA,5699.0,2849.0,89.04
1291,3483,GPU,7.0,475.0,331.0,13230.0,1400,AMD,28180.0,14090.0,880.6
1295,3487,GPU,7.0,250.0,331.0,13230.0,1400,AMD,26110.0,13060.0,6528.0
1302,3494,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
1311,3503,GPU,14.0,15.0,210.0,4940.0,300,AMD,1843.0,921.6,57.6
1313,3505,GPU,14.0,15.0,210.0,4940.0,300,AMD,1691.0,845.6,52.85
1314,3506,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1151.0,1151.0,71.94
1322,3514,GPU,12.0,80.0,445.0,10800.0,945,NVIDIA,10600.0,5299.0,165.6
1324,3516,GPU,7.0,150.0,251.0,10300.0,1035,AMD,11660.0,5829.0,364.3
1332,3524,GPU,14.0,75.0,123.0,3000.0,1090,AMD,2150.0,2150.0,134.4
1337,3529,GPU,14.0,47.0,132.0,3300.0,1266,NVIDIA,29.6,1894.0,59.2
1344,3536,GPU,12.0,125.0,284.0,6600.0,1530,NVIDIA,10050.0,5027.0,157.1
1351,3543,GPU,16.0,120.0,200.0,4400.0,1506,NVIDIA,68.36,4375.0,136.7
1370,3562,GPU,7.0,85.0,158.0,6400.0,1000,AMD,9574.0,4787.0,299.2
1381,3573,GPU,12.0,160.0,545.0,13600.0,1365,NVIDIA,12900.0,6451.0,201.6
1396,3588,GPU,14.0,10.0,74.0,1800.0,937,NVIDIA,12.46,797.2,24.91
1407,3599,GPU,16.0,100.0,314.0,7200.0,1557,NVIDIA,139.8,8945.0,279.5
1412,3604,GPU,8.0,320.0,628.0,28300.0,1440,NVIDIA,29770.0,29770.0,465.1
1417,3609,GPU,12.0,115.0,545.0,13600.0,1140,NVIDIA,14130.0,7066.0,220.8
1429,3621,GPU,12.0,175.0,445.0,10800.0,1470,NVIDIA,14360.0,7181.0,224.4
1432,3624,GPU,12.0,150.0,545.0,13600.0,1380,NVIDIA,18720.0,9362.0,292.6
1438,3630,GPU,14.0,65.0,123.0,3000.0,1090,AMD,2106.0,2106.0,131.6
1443,3635,GPU,14.0,65.0,123.0,3000.0,1175,AMD,2462.0,2462.0,153.9
1451,3643,GPU,7.0,205.0,251.0,10300.0,1243,AMD,20890.0,10440.0,652.8
1457,3649,GPU,28.0,100.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
1459,3651,GPU,28.0,190.0,366.0,5000.0,970,AMD,3973.0,3973.0,248.3
1465,3657,GPU,28.0,175.0,596.0,8900.0,1000,AMD,8192.0,8192.0,512.0
1467,3659,GPU,14.0,150.0,232.0,5700.0,1168,AMD,5259.0,5259.0,328.7
1469,3661,GPU,14.0,85.0,232.0,5700.0,926,AMD,4940.0,4940.0,308.7
1470,3662,GPU,28.0,250.0,366.0,5000.0,850,AMD,3482.0,3482.0,217.6
1473,3665,GPU,7.0,110.0,158.0,6400.0,1500,AMD,10390.0,5196.0,324.7
1479,3671,GPU,14.0,75.0,132.0,3300.0,1392,NVIDIA,36.43,2332.0,72.86
1493,3685,GPU,16.0,75.0,200.0,4400.0,1076,NVIDIA,47.36,3031.0,94.72
1494,3686,GPU,14.0,50.0,123.0,3000.0,1002,AMD,2460.0,2460.0,153.7
1508,3700,GPU,16.0,235.0,610.0,15300.0,1304,NVIDIA,20670.0,10340.0,5168.0
1515,3707,GPU,7.0,15.0,156.0,9800.0,400,AMD,2867.0,1434.0,89.6
1531,3723,GPU,12.0,80.0,545.0,13600.0,930,NVIDIA,11830.0,5914.0,184.8
1536,3728,GPU,16.0,250.0,610.0,15300.0,1190,NVIDIA,19050.0,9526.0,4763.0
1545,3737,GPU,16.0,75.0,200.0,4400.0,1291,NVIDIA,46.48,2974.0,92.95
1557,3749,GPU,14.0,15.0,210.0,4940.0,300,AMD,1691.0,845.6,52.85
1568,3760,GPU,14.0,230.0,495.0,12500.0,1200,AMD,21500.0,10750.0,672.0
1574,3766,GPU,14.0,75.0,123.0,3000.0,850,AMD,1306.0,1306.0,81.6
1579,3771,GPU,14.0,50.0,123.0,3000.0,1090,AMD,2150.0,2150.0,134.4
1589,3781,GPU,14.0,130.0,232.0,5700.0,1120,AMD,5700.0,5700.0,356.3
1590,3782,GPU,14.0,250.0,495.0,12500.0,1250,AMD,24050.0,12030.0,751.6
1593,3785,GPU,14.0,15.0,210.0,4940.0,300,AMD,3584.0,1792.0,112.0
1595,3787,GPU,14.0,100.0,232.0,5700.0,1000,AMD,4963.0,4963.0,310.2
1605,3797,GPU,14.0,18.0,74.0,1800.0,1303,NVIDIA,17.92,1147.0,35.83
1609,3801,GPU,7.0,300.0,750.0,50000.0,1000,AMD,184600.0,23070.0,11540.0
1614,3806,GPU,12.0,250.0,815.0,21100.0,1297,NVIDIA,31330.0,15670.0,7834.0
1615,3807,GPU,28.0,75.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
1617,3809,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
1625,3817,GPU,14.0,175.0,232.0,5700.0,1257,AMD,6359.0,6359.0,397.4
1631,3823,GPU,14.0,10.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
1632,3824,GPU,12.0,50.0,200.0,4700.0,1065,NVIDIA,5000.0,2500.0,78.12
1637,3829,GPU,12.0,280.0,754.0,18600.0,1350,NVIDIA,32620.0,16310.0,509.8
1646,3838,GPU,14.0,18.0,74.0,1800.0,1455,NVIDIA,12.14,777.2,24.29
1650,3842,GPU,12.0,75.0,200.0,4700.0,1485,NVIDIA,5967.0,2984.0,93.24
1651,3843,GPU,7.0,300.0,520.0,26800.0,1825,AMD,46080.0,23040.0,1440.0
1653,3845,GPU,12.0,185.0,445.0,10800.0,1470,NVIDIA,15210.0,7603.0,237.6
1662,3854,GPU,14.0,75.0,132.0,3300.0,1493,NVIDIA,38.88,2488.0,77.76
1663,3855,GPU,7.0,300.0,331.0,13230.0,1200,AMD,29490.0,14750.0,7373.0
1668,3860,GPU,14.0,210.0,495.0,12500.0,1156,AMD,21090.0,10540.0,659.0
1675,3867,GPU,12.0,125.0,284.0,6600.0,1530,NVIDIA,10050.0,5027.0,157.1
1684,3876,GPU,8.0,150.0,628.0,28300.0,1320,NVIDIA,31520.0,31520.0,985.0
1687,3879,GPU,14.0,75.0,132.0,3300.0,1354,NVIDIA,29.1,1862.0,58.2
1692,3884,GPU,28.0,75.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
1695,3887,GPU,20.0,15.0,118.0,2000.0,384,NVIDIA,786.4,393.2,12.29
1699,3891,GPU,16.0,90.0,314.0,7200.0,1012,NVIDIA,96.38,6169.0,192.8
1702,3894,GPU,16.0,250.0,471.0,11800.0,1481,NVIDIA,177.2,11340.0,354.4
1706,3898,GPU,14.0,100.0,232.0,5700.0,1000,AMD,4963.0,4963.0,310.2
1713,3905,GPU,14.0,15.0,210.0,4940.0,300,AMD,1966.0,983.0,61.44
1716,3908,GPU,14.0,65.0,123.0,3000.0,1275,AMD,2611.0,2611.0,163.2
1719,3911,GPU,7.0,250.0,826.0,54200.0,765,NVIDIA,77970.0,19490.0,9746.0
1720,3912,GPU,28.0,275.0,596.0,8900.0,1000,AMD,7168.0,7168.0,448.0
1721,3913,GPU,16.0,75.0,314.0,7200.0,1139,NVIDIA,78.62,5032.0,157.2
1724,3916,GPU,14.0,75.0,123.0,3000.0,1175,AMD,2611.0,2611.0,163.2
1731,3923,GPU,14.0,65.0,123.0,3000.0,1223,AMD,2192.0,2192.0,137.0
1734,3926,GPU,14.0,65.0,210.0,4940.0,300,AMD,2255.0,1127.0,70.46
1739,3931,GPU,12.0,115.0,445.0,10800.0,1260,NVIDIA,13410.0,6705.0,209.5
1741,3933,GPU,14.0,40.0,132.0,3300.0,1266,NVIDIA,21.66,1386.0,43.33
1742,3934,GPU,14.0,65.0,123.0,3000.0,1275,AMD,2611.0,2611.0,163.2
1745,3937,GPU,7.0,180.0,251.0,10300.0,1465,AMD,15900.0,7949.0,496.8
1759,3951,GPU,14.0,150.0,232.0,5700.0,1000,AMD,3960.0,3960.0,247.5
1763,3955,GPU,14.0,230.0,495.0,12500.0,852,AMD,16380.0,8192.0,512.0
1781,3973,GPU,16.0,120.0,200.0,4400.0,1506,NVIDIA,68.36,4375.0,136.7
1798,3990,GPU,14.0,15.0,210.0,4940.0,300,AMD,3942.0,1971.0,123.2
1800,3992,GPU,12.0,250.0,815.0,21100.0,1290,NVIDIA,31330.0,15670.0,7834.0
1814,4006,GPU,14.0,65.0,208.0,5000.0,931,AMD,2588.0,2588.0,161.8
1822,4014,GPU,16.0,300.0,610.0,15300.0,1328,NVIDIA,21220.0,10610.0,5304.0
1823,4015,GPU,7.0,230.0,335.0,17200.0,2321,AMD,26430.0,13210.0,825.9
1827,4019,GPU,14.0,250.0,495.0,12500.0,1250,AMD,22120.0,11060.0,691.2
1831,4023,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
1835,4027,GPU,14.0,65.0,123.0,3000.0,1090,AMD,2462.0,2462.0,153.9
1844,4036,GPU,14.0,50.0,103.0,2200.0,1082,AMD,1247.0,1247.0,77.95
1850,4042,GPU,16.0,250.0,471.0,11800.0,1557,NVIDIA,167.0,10690.0,334.0
1851,4043,GPU,8.0,170.0,276.0,13250.0,1320,NVIDIA,12740.0,12740.0,199.0
1855,4047,GPU,12.0,115.0,445.0,10800.0,960,NVIDIA,9216.0,4608.0,144.0
1859,4051,GPU,12.0,260.0,754.0,18600.0,1440,NVIDIA,32620.0,16310.0,509.8
1860,4052,GPU,12.0,215.0,545.0,13600.0,1605,NVIDIA,18120.0,9062.0,283.2
1881,4073,GPU,14.0,60.0,123.0,3000.0,1019,AMD,1371.0,1371.0,85.68
1883,4075,GPU,14.0,150.0,232.0,5700.0,1120,AMD,5834.0,5834.0,364.6
1895,4087,GPU,7.0,25.0,156.0,9800.0,300,AMD,3226.0,1613.0,100.8
1897,4089,GPU,14.0,10.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
1901,4093,GPU,12.0,50.0,200.0,4700.0,1350,NVIDIA,6083.0,3041.0,95.04
1926,4118,GPU,12.0,260.0,754.0,18600.0,1395,NVIDIA,32620.0,16310.0,509.8
1932,4124,GPU,14.0,50.0,123.0,3000.0,1002,AMD,1348.0,1348.0,84.24
1936,4128,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1647.0,1647.0,103.0
1953,4145,GPU,12.0,260.0,754.0,18600.0,1230,NVIDIA,29860.0,14930.0,466.6
1957,4149,GPU,14.0,15.0,210.0,4940.0,300,AMD,2560.0,1280.0,80.0
1958,4150,GPU,14.0,15.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
1959,4151,GPU,12.0,215.0,545.0,13600.0,1515,NVIDIA,20140.0,10070.0,314.6
1961,4153,GPU,28.0,275.0,596.0,8900.0,1050,AMD,8602.0,8602.0,537.6
1968,4160,GPU,14.0,75.0,132.0,3300.0,1366,NVIDIA,34.61,2215.0,69.22
1972,4164,GPU,14.0,65.0,103.0,2200.0,1082,AMD,1385.0,1385.0,86.56
1976,4168,GPU,12.0,30.0,200.0,4700.0,1020,NVIDIA,5100.0,2550.0,79.68
1977,4169,GPU,16.0,150.0,314.0,7200.0,1506,NVIDIA,101.0,6463.0,202.0
1979,4171,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
1981,4173,GPU,14.0,150.0,232.0,5700.0,1096,AMD,4489.0,4489.0,280.6
1982,4174,GPU,14.0,65.0,103.0,2200.0,1295,AMD,1658.0,1658.0,103.6
1983,4175,GPU,7.0,100.0,197.0,8000.0,1565,AMD,8013.0,4006.0,250.4
1984,4176,GPU,14.0,50.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
1986,4178,GPU,7.0,125.0,158.0,6400.0,1744,AMD,10450.0,5224.0,326.5
2003,4195,GPU,14.0,15.0,210.0,4940.0,300,AMD,2458.0,1229.0,76.8
2032,4224,GPU,16.0,115.0,314.0,7200.0,1215,NVIDIA,88.26,5648.0,176.5
2046,4238,GPU,12.0,40.0,200.0,4700.0,1200,NVIDIA,6636.0,3318.0,103.7
2048,4240,GPU,14.0,295.0,495.0,12500.0,1247,AMD,25330.0,12660.0,791.6
2065,4257,GPU,14.0,50.0,103.0,2200.0,1082,AMD,1240.0,1240.0,77.5
2082,4274,GPU,7.0,180.0,251.0,10300.0,1465,AMD,15850.0,7926.0,495.4
2088,4280,GPU,14.0,15.0,210.0,4940.0,300,AMD,2458.0,1229.0,76.8
2090,4282,GPU,16.0,300.0,610.0,15300.0,1328,NVIDIA,21220.0,10610.0,5304.0
2106,4298,GPU,8.0,80.0,276.0,13250.0,900,NVIDIA,10940.0,10940.0,171.0
2115,4307,GPU,28.0,15.0,125.0,1200.0,200,AMD,325.2,325.2,20.33
2121,4313,GPU,12.0,115.0,445.0,10800.0,900,NVIDIA,10370.0,5184.0,162.0
2135,4327,GPU,14.0,35.0,210.0,4940.0,300,AMD,2255.0,1127.0,70.46
2138,4330,GPU,12.0,18.0,200.0,4700.0,1365,NVIDIA,6075.0,3037.0,94.92
2146,4338,GPU,7.0,205.0,251.0,10300.0,1400,AMD,17330.0,8663.0,541.4
2152,4344,GPU,12.0,300.0,815.0,21100.0,1245,NVIDIA,28260.0,14130.0,7066.0
2163,4355,GPU,28.0,15.0,125.0,1200.0,200,AMD,553.0,553.0,276.5
2166,4358,GPU,14.0,50.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
2171,4363,GPU,14.0,50.0,123.0,3000.0,1125,AMD,2460.0,2460.0,153.7
2180,4372,GPU,14.0,10.0,74.0,1800.0,1519,NVIDIA,12.25,783.9,24.5
2191,4383,GPU,12.0,260.0,754.0,18600.0,1065,NVIDIA,25710.0,12860.0,401.8
2196,4388,GPU,12.0,80.0,284.0,6600.0,1410,NVIDIA,5699.0,2849.0,89.04
2200,4392,GPU,12.0,250.0,815.0,21100.0,1312,NVIDIA,31330.0,15670.0,7834.0
2204,4396,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
2215,4407,GPU,12.0,110.0,545.0,13600.0,1035,NVIDIA,18980.0,9492.0,296.6
2216,4408,GPU,14.0,150.0,232.0,5700.0,1096,AMD,4489.0,4489.0,280.6
2220,4412,GPU,8.0,320.0,628.0,28300.0,1440,NVIDIA,29770.0,29770.0,465.1
2222,4414,GPU,14.0,230.0,495.0,12500.0,1200,AMD,21500.0,10750.0,672.0
2223,4415,GPU,12.0,120.0,284.0,6600.0,1530,NVIDIA,10050.0,5027.0,157.1
2224,4416,GPU,7.0,85.0,158.0,6400.0,1000,AMD,6400.0,3200.0,200.0
2225,4417,GPU,28.0,265.0,366.0,5000.0,1050,AMD,3763.0,3763.0,235.2
2227,4419,GPU,14.0,75.0,123.0,3000.0,1004,AMD,2056.0,2056.0,128.5
2242,4434,GPU,7.0,85.0,158.0,6400.0,1375,AMD,9265.0,4632.0,289.5
2245,4437,GPU,14.0,210.0,495.0,12500.0,1138,AMD,17920.0,8960.0,560.0
2251,4443,GPU,7.0,225.0,251.0,10300.0,1680,AMD,20280.0,10140.0,633.6
2252,4444,GPU,14.0,25.0,132.0,3300.0,1430,NVIDIA,18.68,1196.0,37.37
2258,4450,GPU,7.0,165.0,826.0,54200.0,930,NVIDIA,10320.0,10320.0,5161.0
2277,4469,GPU,12.0,120.0,284.0,6600.0,1500,NVIDIA,10870.0,5437.0,169.9
2279,4471,GPU,12.0,80.0,545.0,13600.0,600,NVIDIA,16590.0,8294.0,259.2
2282,4474,GPU,14.0,15.0,210.0,4940.0,300,AMD,2995.0,1498.0,93.6
2285,4477,GPU,14.0,35.0,123.0,3000.0,855,AMD,1313.0,1313.0,82.08
2295,4487,GPU,14.0,75.0,232.0,5700.0,713,AMD,3903.0,3903.0,243.9
2300,4492,GPU,14.0,60.0,123.0,3000.0,1019,AMD,1371.0,1371.0,85.68
2301,4493,GPU,12.0,100.0,284.0,6600.0,1530,NVIDIA,8832.0,4416.0,138.0
2302,4494,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
